id_alumno,nombre,apellido,sexo,fecha_nacimiento,perfil_academico,especialidad,email,telefono,id_facebook,id_crea
30,David,Raya,F,1989-09-29,licenciatura,docente,vicente.monroy@yahoo.com,922879941,12450417669263,5329841851
31,Jacobo,Briones,M,1989-01-15,licenciatura,docente,luz.cisneros@hotmail.com,977-972-520,18346290246810,8128713251
32,Luz,Perales,F,1981-05-04,licenciatura,docente,gerardo.montoya@gmail.com,935 073 802,97088073413374,9248612390
33,Lilia,Becerra,F,1991-01-13,licenciatura,docente,gonzalo.zapata@hotmail.com,979-017-111,35281877521245,1556633010
34,Emilio,Contreras,F,1979-11-01,licenciatura,docente,miguel.arriaga@hotmail.com,922.503.207,65593952418667,1604433803
35,Raquel,Carmona,F,1990-05-31,licenciatura,docente,olivia.fierro@gmail.com,945148679,41714529558785,6940126317
36,Amalia,Luna,F,1991-03-15,licenciatura,docente,maría.olvera@yahoo.com,954-593-396,88625054840157,7666691068
37,Carmen,Caraballo,F,1986-05-06,licenciatura,docente,gregorio.delarosa@gmail.com,997779589,11692124544903,8201646296
38,Alicia,Naranjo,M,1993-06-11,licenciatura,docente,raquel.macías@gmail.com,952049684,51069380879015,8038854996
39,Ramiro,Santillán,F,1986-07-29,licenciatura,docente,marisol.ortega@yahoo.com,989449788,88859010411788,1429206861
40,Rosalia,Prieto,F,1980-05-24,licenciatura,docente,jesús.serrano@gmail.com,964 635 722,40695101512912,4106154080
41,Laura,Cedillo,F,1986-02-03,licenciatura,docente,horacio.mercado@gmail.com,985 031 715,32095336134015,3219458290
42,Margarita,Rosas,F,1989-11-20,licenciatura,docente,elvira.abrego@yahoo.com,966.296.111,29136247196193,9833062324
43,José Emilio,Urbina,F,1998-07-29,licenciatura,docente,emilia.vigil@hotmail.com,935933480,23289923427560,2697020449
44,Josefina,Villalpando,F,1991-07-07,licenciatura,docente,carlos.castellanos@hotmail.com,931.104.909,46891121166975,4016968087
45,Lourdes,Mares,F,1981-09-03,licenciatura,docente,emilia.pizarro@hotmail.com,992-508-763,83251439959493,6736009497
46,Gerardo,Huerta,F,1999-05-12,licenciatura,docente,maría cristina.ozuna@gmail.com,982 974 060,66390133364092,5725294765
47,Virginia,Soliz,F,1998-10-24,licenciatura,docente,josefina.saiz@hotmail.com,958.223.778,95710884457298,7659038706
48,Rubén,Casárez,F,1993-02-21,licenciatura,docente,fernando.gaytán@hotmail.com,948702020,59783952410177,1503074886
49,María Luisa,Valdés,M,1985-05-11,licenciatura,docente,gustavo.osorio@gmail.com,902.784.843,99117479673258,2609207586
50,Ramiro,Trejo,F,1981-02-11,licenciatura,docente,esteban.cordero@gmail.com,949410669,59572509773636,9424100978
51,Daniela,Abreu,F,1997-04-22,licenciatura,docente,clara.fuentes@hotmail.com,993192851,63045659457067,8066646564
52,Lucia,Adame,F,1994-09-13,licenciatura,docente,yolanda.mesa@gmail.com,958079533,86385988876001,6383058264
53,Eloisa,Nájera,M,1998-07-10,licenciatura,docente,sergio.briones@gmail.com,923821038,56591758578820,3569360370
54,Isabel,Mares,F,1996-03-31,licenciatura,docente,octavio.romo@hotmail.com,983-173-829,26630359113555,5971722848
55,Elisa,Araña,M,1985-01-18,licenciatura,docente,josé eduardo.rosas@hotmail.com,999801631,86838871421261,7378396530
56,Alicia,Oquendo,F,1992-01-30,licenciatura,docente,julio.nava@hotmail.com,980158935,93961539061664,9939993378
57,Manuela,Bañuelos,M,1990-04-11,licenciatura,docente,patricia.farías@yahoo.com,913 309 970,93265796477220,9188239377
58,Conchita,Abeyta,M,1987-10-06,licenciatura,docente,víctor.cerda@yahoo.com,921926534,72627440343155,1093408586
59,Rodrigo,Valencia,M,1980-12-15,licenciatura,docente,manuela.valle@gmail.com,930-945-883,67398320321438,9225725209
60,Norma,Valdez,F,1989-06-27,licenciatura,docente,lucas.cabrera@gmail.com,979 964 625,21307133648635,1630529990
61,Irene,Olivárez,F,1983-04-11,licenciatura,docente,gonzalo.laureano@hotmail.com,934801446,75563953779594,8278608514
62,Emilio,Tamez,M,1990-05-07,licenciatura,docente,elsa.quintanilla@yahoo.com,903698549,30574239506757,3513856762
63,Gregorio,Alcala,F,1992-04-25,licenciatura,docente,martín.canales@yahoo.com,900328961,24721930031715,5428507731
64,Benjamín,Roybal,F,1996-03-02,licenciatura,docente,catalina.amador@hotmail.com,935280477,72860901264046,9141448405
65,Andrés,Miramontes,F,1990-04-08,licenciatura,docente,gilberto.aponte@yahoo.com,931190742,41688215342808,5717772753
66,María José,Montalvo,F,1981-07-06,licenciatura,docente,maría josé.araña@yahoo.com,925126848,75697380858977,1997179636
67,Juan Carlos,Garrido,M,1993-09-03,licenciatura,docente,guillermo.ayala@hotmail.com,916-646-126,20623414017750,8844961799
68,Olivia,Lozano,F,1988-03-05,licenciatura,docente,sergio.marrero@gmail.com,915 251 984,59422919320825,7159373880
69,Adán,Soria,M,1986-04-25,licenciatura,docente,isabel.anguiano@hotmail.com,903799438,83931860942724,9188668269
70,Santiago,Vázquez,M,1984-09-13,licenciatura,docente,carolina.bustos@gmail.com,919 520 422,98367010206655,4044078717
71,Rubén,Colunga,F,1993-12-07,licenciatura,docente,emilia.arellano@hotmail.com,991215531,44803586808315,4157525183
72,Claudia,Quintana,F,1989-07-07,licenciatura,docente,sergio.santana@yahoo.com,939.462.788,98071263762210,7709688401
73,Graciela,Polanco,F,1982-05-05,licenciatura,docente,diego.villarreal@yahoo.com,948 145 869,62033783048657,7422809401
74,Caridad,Flórez,M,1981-05-13,licenciatura,docente,julio.cordero@hotmail.com,914.461.124,10197333519190,2477314012
75,Julia,Zapata,F,1986-02-08,licenciatura,docente,amalia.loya@gmail.com,910 203 656,75511247393455,8751804122
76,Sonia,Armendáriz,M,1991-02-13,licenciatura,docente,dorotea.villalobos@yahoo.com,905045386,22684038782268,9966568285
77,Emilia,Ordóñez,M,1981-08-19,licenciatura,docente,victoria.rodarte@gmail.com,986.196.910,26178744300672,1782276958
78,Benjamín,Gálvez,F,1999-04-09,licenciatura,docente,césar.rojo@gmail.com,965750621,52409062530819,7477661408
79,Jaime,Domínguez,F,1997-07-12,licenciatura,docente,gilberto.garcía@yahoo.com,931 339 773,38002645262850,1521613059
80,Rosa,Suárez,M,1982-02-24,licenciatura,docente,clara.ríos@hotmail.com,913-410-354,12847149903654,2653736989
81,Graciela,Ayala,F,1982-08-18,licenciatura,docente,esteban.lerma@hotmail.com,984405156,68759485445058,2624396899
82,Rosalia,Berríos,M,1994-09-07,licenciatura,docente,berta.tovar@gmail.com,947855105,37658409414572,1526328995
83,Mariana,Pizarro,M,1979-10-23,licenciatura,docente,antonia.valdivia@gmail.com,976039854,50358777584071,5251514594
84,Emilio,Soto,F,1991-09-22,licenciatura,docente,homero.medrano@hotmail.com,901519714,23245707850455,7502806966
85,Ester,Orta,F,1988-11-09,licenciatura,docente,blanca.verdugo@gmail.com,940.816.702,62242708641906,1732419967
86,Conchita,Alanis,M,1988-03-04,licenciatura,docente,carlos.tejeda@yahoo.com,946.197.617,42002409153445,2973361805
87,Sancho,Merino,M,1981-10-27,licenciatura,docente,berta.espino@gmail.com,938.095.872,16465923389801,6999620113
88,Juan,Alfaro,F,1996-09-15,licenciatura,docente,lorena.haro@hotmail.com,936042331,92347657681880,8353388245
89,Rocio,Carrera,M,1998-05-20,licenciatura,docente,homero.gómez@yahoo.com,917.489.445,61678522152833,2528954670
90,Virginia,Hernández,F,1992-06-21,licenciatura,docente,ramona.otero@hotmail.com,992 530 062,21756924558931,6899374748
91,Luis Miguel,Esquivel,M,1992-05-05,licenciatura,docente,jerónimo.ramírez@hotmail.com,946.540.613,20507642281216,8084590418
92,Jaime,Cortez,F,1982-01-25,licenciatura,docente,pedro.palacios@gmail.com,950.970.406,14269102898194,8244780055
93,Amalia,Colunga,M,1990-11-29,licenciatura,docente,emilia.pedroza@hotmail.com,932375415,70886504734130,7351524355
94,Esperanza,Navarrete,F,1983-06-27,licenciatura,docente,teodoro.báez@hotmail.com,905691578,68226682327823,4010765538
95,Adriana,Villaseñor,F,1991-01-17,licenciatura,docente,sofia.urrutia@hotmail.com,911 486 270,98673610971813,9889262591
96,Tomás,Zaragoza,M,1982-06-19,licenciatura,docente,rodrigo.rico@yahoo.com,967 895 537,82191667980746,2404450216
97,Luis Miguel,Bañuelos,M,1989-11-07,licenciatura,docente,estela.gaona@yahoo.com,965-959-111,47507666125704,2240526269
98,Raúl,Mondragón,M,1982-11-14,licenciatura,docente,raúl.enríquez@yahoo.com,911278690,17269207308110,3874907215
99,Alfonso,Centeno,F,1992-03-13,licenciatura,docente,dorotea.gurule@yahoo.com,937-522-739,13646129848834,6597880770
100,María Luisa,Zepeda,F,1989-10-19,licenciatura,docente,patricio.casas@yahoo.com,985895713,61043788709610,2815959081
101,Rafael,Mercado,M,1986-03-31,licenciatura,docente,maría josé.hernández@yahoo.com,913.154.003,32267350881660,8141140124
102,María Soledad,Rosario,F,1999-04-10,licenciatura,docente,gabriel.gómez@hotmail.com,924.246.738,42613819201534,8524863665
103,Diana,Ozuna,F,1984-03-11,licenciatura,docente,francisco.irizarry@hotmail.com,954-678-979,24503973630509,3174809734
104,Manuel,Noriega,F,1990-12-03,licenciatura,docente,eduardo.vélez@gmail.com,967502467,74623178544514,5550951640
105,Marisol,Matías,F,1984-03-26,licenciatura,docente,jesús.leal@hotmail.com,973-203-051,99967020803187,7122146550
106,Marcela,Soto,M,1989-05-11,licenciatura,docente,diego.trejo@gmail.com,924 741 382,17942490715699,1639373305
107,Andrea,Puga,F,1997-05-25,licenciatura,docente,esperanza.cruz@hotmail.com,929286172,14422112475575,5008659629
108,Anita,Quesada,M,1989-02-11,licenciatura,docente,jacobo.valle@hotmail.com,935-985-460,72453995480463,2073170667
109,Rocio,Casanova,M,1992-04-03,licenciatura,docente,víctor.benavides@gmail.com,923.672.097,88360346702447,5587885317
110,Fernando,Gollum,F,1987-01-12,licenciatura,docente,carolina.márquez@gmail.com,951 884 066,53761168387843,7542040768
111,Lorena,Deleón,F,1987-09-27,licenciatura,docente,enrique.toro@gmail.com,922-251-980,75495330297088,9067180420
112,Homero,Espino,M,1997-05-05,licenciatura,docente,marco antonio.chapa@yahoo.com,924602502,18256887089147,2186459709
113,Fernando,Vélez,F,1979-11-24,licenciatura,docente,antonio.campos@hotmail.com,975 631 499,70420895510405,6467294468
114,Lola,Rivera,F,1993-02-06,licenciatura,docente,jorge.jurado@yahoo.com,931-092-716,23910736155311,7102241802
115,Soledad,Arce,F,1989-03-20,licenciatura,docente,luz.curiel@yahoo.com,974.439.627,49722853777101,1103744500
116,Benjamín,Oquendo,F,1998-06-09,licenciatura,docente,verónica.gracia@gmail.com,927377012,71372244689636,8342131500
117,María Luisa,Garica,F,1996-04-08,licenciatura,docente,eva.pelayo@gmail.com,975125733,57290356955919,4797269882
118,Emilia,Orta,F,1983-11-26,licenciatura,docente,barbara.gracia@gmail.com,942 716 733,46993008758531,7533248074
119,José María,Cintrón,M,1998-12-10,licenciatura,docente,andrés.bahena@gmail.com,981 310 466,53267309315868,8232510842
120,Cristobal,Padilla,M,1997-06-12,licenciatura,docente,ramiro.beltrán@hotmail.com,921-973-990,68994654454562,2930797506
121,José Emilio,Cadena,M,1995-01-27,licenciatura,docente,jorge.castro@yahoo.com,941 093 836,40759369022754,2827388373
122,Ramón,Ochoa,M,1997-09-28,licenciatura,docente,octavio.de jesús@hotmail.com,901853765,15407034151167,6440607654
123,Eduardo,Montoya,F,1990-10-23,licenciatura,docente,adela.blanco@yahoo.com,944.868.390,27206999835703,3517723994
124,Lourdes,Garibay,F,1992-06-04,licenciatura,docente,alejandro.nava@yahoo.com,944-907-934,16663485228803,9665489427
125,Ariadna,Colón,M,1984-06-27,licenciatura,docente,barbara.rubio@yahoo.com,941579562,99707333430339,1957147963
126,Vicente,Almanza,M,1987-11-13,licenciatura,docente,gerardo.manzanares@yahoo.com,989 311 948,81633832772023,4764281212
127,Silvia,Elizondo,F,1989-08-30,licenciatura,docente,claudia.regalado@gmail.com,986-891-804,61197284856328,8192315919
128,Cristian,Peña,F,1995-04-18,licenciatura,docente,martín.apodaca@yahoo.com,974006863,69380587339353,4717283814
129,Fernando,Iglesias,M,1980-06-21,licenciatura,docente,josé.archuleta@hotmail.com,949 291 807,18286022218582,8424356765
130,Óscar,Concepción,M,1984-01-12,licenciatura,docente,blanca.castellanos@yahoo.com,990617621,93752228250232,1038351141
131,Ana Luisa,Cortés,M,1986-08-31,licenciatura,docente,rosalia.arriaga@yahoo.com,918-491-349,19271895880620,8652681990
132,Daniela,Lugo,M,1980-06-28,licenciatura,docente,rosario.ballesteros@gmail.com,994.466.582,98497993999287,1756508055
133,Lucia,Paredes,F,1990-01-26,licenciatura,docente,horacio.soto@yahoo.com,969760987,27738116811735,6183507213
134,Isabela,Adame,M,1991-06-09,licenciatura,docente,arturo.campos@hotmail.com,926.094.504,79061975272492,8694363641
135,Salvador,Palomino,F,1980-03-22,licenciatura,docente,carmen.urías@hotmail.com,900 456 650,74293021535051,3938537611
136,Guillermina,Molina,M,1991-10-05,licenciatura,docente,luis.delacrúz@gmail.com,983-056-319,24510262096631,6814748732
137,Carmen,Salgado,F,1994-03-20,licenciatura,docente,pedro.solorzano@yahoo.com,916-382-000,55892147380301,9812221265
138,Margarita,Frías,F,1988-08-15,licenciatura,docente,sonia.bueno@gmail.com,978.694.512,88695947580928,4448165011
139,Gonzalo,Delatorre,M,1992-07-13,licenciatura,docente,alfonso.pichardo@gmail.com,961405512,77617383062567,8907929604
140,Sergio,Tamez,F,1986-06-16,licenciatura,docente,clara.pelayo@hotmail.com,941 050 127,19588124082432,9626797831
141,Daniela,Villa,M,1998-10-17,licenciatura,docente,luis miguel.marín@yahoo.com,976.204.316,47894618819323,6573238713
142,Guillermo,Bétancourt,M,1992-03-03,licenciatura,docente,francisca.guajardo@yahoo.com,923-055-839,36113910155076,8197025622
143,Isabel,Perea,M,1988-12-31,licenciatura,docente,óscar.negrón@hotmail.com,972.353.036,24726019943155,3908311133
144,Raquel,Camacho,F,1989-01-25,licenciatura,docente,timoteo.carrillo@yahoo.com,904 735 733,62278954113223,7198991852
145,Natalia,Camacho,F,1983-08-02,licenciatura,docente,david.jasso@yahoo.com,957 169 414,22119513130201,1481644845
146,Marisol,Reyna,M,1996-03-30,licenciatura,docente,victoria.santana@hotmail.com,925.733.881,47929982171283,7130350128
147,Ricardo,Maestas,M,1980-10-31,licenciatura,docente,clemente.lugo@gmail.com,900-161-552,99484807024742,2598867140
148,María Cristina,Garrido,M,1994-01-13,licenciatura,docente,martín.solís@gmail.com,963.564.913,26531332170131,8097914755
149,Ana,Dueñas,M,1991-01-21,licenciatura,docente,felipe.carrasquillo@gmail.com,968-311-448,85716242790595,8677525130
150,Adela,Vigil,M,1989-08-30,licenciatura,docente,magdalena.cedillo@yahoo.com,951 945 119,21849607923763,3774673310
151,Clemente,Leal,F,1987-03-03,licenciatura,docente,leticia.montes@hotmail.com,987853234,52781827772943,3588903830
152,Federico,Navarrete,M,1995-09-12,licenciatura,docente,josé eduardo.villegas@yahoo.com,910-605-065,94619251765893,4827126832
153,Elena,Ybarra,F,1996-02-25,licenciatura,docente,carmen.villalobos@yahoo.com,920.878.004,64216772857583,6108428591
154,Amalia,Leal,M,1988-06-30,licenciatura,docente,pablo.ontiveros@hotmail.com,946 951 962,49205256668607,1592794865
155,Emilia,Varela,M,1980-07-19,licenciatura,docente,eloisa.villaseñor@yahoo.com,943.338.189,64651419506027,9051873689
156,Soledad,Saldaña,F,1980-01-20,licenciatura,docente,daniel.nieves@hotmail.com,965.775.481,66100210251607,8139382401
157,Yolanda,Naranjo,F,1988-05-02,licenciatura,docente,juan carlos.ballesteros@gmail.com,998-293-516,81575314965669,3510890963
158,Alejandra,Rangel,F,1987-02-17,licenciatura,docente,miguel.pichardo@yahoo.com,968-606-275,46964368972035,3922278351
159,Julia,Jaimes,M,1992-12-13,licenciatura,docente,eva.rosado@yahoo.com,951-040-251,66779329052981,3364023659
160,Carla,Rodríguez,M,1993-01-24,licenciatura,docente,benjamín.altamirano@yahoo.com,907805962,67831620291172,4531178712
161,José Luis,Carvajal,F,1983-12-14,licenciatura,docente,mariana.mares@yahoo.com,961 578 447,69692395471914,2930470810
162,Gabriela,Dueñas,M,1980-05-18,licenciatura,docente,andrea.verdugo@gmail.com,994064160,29176412727336,6739500285
163,Magdalena,Montañez,M,1987-09-29,licenciatura,docente,micaela.montañez@gmail.com,970510298,90947542237437,8260640571
164,Lorenzo,Salinas,F,1994-02-10,licenciatura,docente,maría josé.rodrígez@hotmail.com,971888096,66657163315177,9709307466
165,Luis Miguel,Nieves,M,1981-06-30,licenciatura,docente,francisco.alba@yahoo.com,962-560-688,49776535523582,5758569831
166,Jorge,Henríquez,F,1998-03-03,licenciatura,docente,carlota.limón@gmail.com,932-237-234,74371779125521,2526572635
167,Ignacio,Cornejo,F,1993-05-24,licenciatura,docente,raúl.lovato@yahoo.com,947-646-343,72651801509629,1237902519
168,Alfonso,Duarte,F,1989-01-16,licenciatura,docente,estela.linares@hotmail.com,932075686,22017238548106,4948719302
169,Andrés,Parra,F,1994-04-01,licenciatura,docente,lorenzo.corrales@gmail.com,905.768.698,83888702069831,3553185652
170,Arturo,Rivas,M,1986-12-19,licenciatura,docente,lorenzo.benítez@hotmail.com,996448285,89104890374661,2785176624
171,Sancho,Raya,F,1984-10-26,licenciatura,docente,marta.viera@hotmail.com,908590794,99475319293992,9982806853
172,Ricardo,Bétancourt,M,1999-04-17,licenciatura,docente,mario.alva@hotmail.com,970.242.959,90752385253656,2166508666
173,Marcela,Gamboa,F,1983-04-11,licenciatura,docente,luis miguel.montes@gmail.com,900 958 883,43274550203789,4037690144
174,Josefina,Varela,F,1986-05-07,licenciatura,docente,marilu.treviño@gmail.com,939-247-968,21570127854990,3301016489
175,Irene,Ocampo,F,1980-03-11,licenciatura,docente,luisa.vanegas@yahoo.com,996-712-198,56694232059524,7260897398
176,Claudio,Sauceda,F,1987-08-23,licenciatura,docente,josefina.quezada@hotmail.com,984 892 580,90835081706898,6765372019
177,José,Cardenas,M,1983-03-17,licenciatura,docente,magdalena.núñez@gmail.com,976866896,74227919997863,1778001159
178,Octavio,Espinoza,F,1996-04-16,licenciatura,docente,amalia.palacios@gmail.com,947-501-711,85568280876449,1799190684
179,Joaquín,Rosado,F,1982-07-26,licenciatura,docente,enrique.ontiveros@gmail.com,978 185 333,66752559349177,3647996088
180,Vicente,Merino,M,1993-06-25,licenciatura,docente,marco antonio.velázquez@gmail.com,981.220.208,29914136747369,7329856644
181,Gonzalo,Márquez,F,1996-05-14,licenciatura,docente,juan carlos.parra@hotmail.com,958-244-428,29517480563189,3853492057
182,Lorena,Montes,M,1983-01-11,licenciatura,docente,carlos.pedroza@gmail.com,993 294 712,72270243162623,6174045329
183,Francisca,Gracia,F,1993-11-23,licenciatura,docente,isabela.estévez@hotmail.com,913-079-263,99715891434986,4326549068
184,Ramona,Uribe,F,1982-02-05,licenciatura,docente,clara.lerma@hotmail.com,931.253.058,41854588318473,4937352296
185,María del Carmen,Solorio,M,1985-03-21,licenciatura,docente,jacobo.murillo@yahoo.com,967 065 010,89220139793872,8994305636
186,Clara,Lerma,M,1990-10-13,licenciatura,docente,marilu.ulibarri@hotmail.com,933 971 071,60487374882267,8298031363
187,Micaela,Solano,F,1985-07-16,licenciatura,docente,julio césar.noriega@yahoo.com,932 843 649,58647133372611,6872475767
188,Rubén,Rodarte,M,1998-01-19,licenciatura,docente,andrea.valles@yahoo.com,950.157.503,25777025972373,2967642155
189,Leonor,Santillán,F,1991-12-04,licenciatura,docente,sofia.apodaca@yahoo.com,955 429 125,30416847900736,5035918707
190,Clemente,Balderas,F,1986-07-29,licenciatura,docente,samuel.godoy@gmail.com,934.571.001,51512591874237,9767998692
191,Gilberto,Sotelo,F,1987-04-26,licenciatura,docente,victoria.lozada@hotmail.com,981-035-150,60341022946515,2720033532
192,Soledad,Sanabria,F,1992-01-14,licenciatura,docente,ana.fierro@gmail.com,922 126 429,59352544658417,2432633286
193,Isabel,Puente,M,1991-04-14,licenciatura,docente,horacio.serrato@hotmail.com,969.361.499,64629329608685,1342614491
194,Bernardo,Saldivar,M,1988-10-03,licenciatura,docente,agustín.sáenz@gmail.com,981.051.460,37397397907110,3356113247
195,Rosa,Zayas,M,1984-06-23,licenciatura,docente,germán.casárez@yahoo.com,942 459 677,93983418514205,8583449033
196,Julia,Maldonado,F,1990-03-16,licenciatura,docente,lucas.mascareñas@hotmail.com,992-047-331,32763070993414,5632732169
197,Luis,Bonilla,F,1987-12-17,licenciatura,docente,claudia.rivera@gmail.com,941 934 719,32988461971287,9582072915
198,Débora,Ruelas,F,1992-02-04,licenciatura,docente,isabel.cantú@yahoo.com,974-470-403,84735653469045,3608825313
199,Graciela,Nava,F,1987-05-22,licenciatura,docente,conchita.franco@yahoo.com,993 045 878,25658141649642,7380773617
200,Micaela,Lira,M,1980-02-03,licenciatura,docente,timoteo.vásquez@gmail.com,914.801.311,26952366775106,4902270655
201,Daniel,Puente,M,1991-12-02,licenciatura,docente,ana.escobar@gmail.com,915 548 830,77988570594121,9144864901
202,Cristina,Alcala,M,1983-05-17,licenciatura,docente,juana.prado@gmail.com,980787306,80353255441801,1942634842
203,José Eduardo,Marrero,F,1998-10-29,licenciatura,docente,silvia.ceballos@yahoo.com,975787216,12730404827105,5308653274
204,Emilia,Maldonado,M,1994-05-11,licenciatura,docente,mario.parra@gmail.com,940-265-176,43445679655774,6746737164
205,Cecilia,Pineda,M,1983-05-30,licenciatura,docente,débora.loya@gmail.com,944.575.644,44059277405579,3702779618
206,Andrés,Candelaria,F,1982-12-26,licenciatura,docente,joaquín.duran@yahoo.com,937321909,59329171880873,8936251073
207,Mayte,Badillo,F,1998-03-25,licenciatura,docente,micaela.ulloa@hotmail.com,960.823.820,11269607951962,5292508856
208,Verónica,Gollum,M,1992-10-09,licenciatura,docente,rodrigo.calvillo@hotmail.com,984.794.339,16830043563620,2048157978
209,Daniela,Zayas,M,1989-07-27,licenciatura,docente,luz.bermúdez@hotmail.com,912294075,49102320902104,7663980218
210,Teresa,Olivo,F,1992-03-28,licenciatura,docente,pablo.juárez@gmail.com,917.286.820,37511773950496,3548058838
211,Isabela,Mena,F,1994-10-10,licenciatura,docente,patricio.serna@hotmail.com,910.974.826,32338222856687,8554098490
212,Marcela,Muro,M,1992-06-24,licenciatura,docente,ana maría.salas@hotmail.com,961 224 081,34562709625072,1565486580
213,Hugo,Mercado,F,1981-07-13,licenciatura,docente,roberto.macías@yahoo.com,952 840 099,34085519493903,8233173644
214,Jerónimo,Viera,M,1987-03-15,licenciatura,docente,horacio.almanza@gmail.com,963.998.198,10684588614445,1324947756
215,Sara,Villalpando,M,1982-11-07,licenciatura,docente,carmen.crespo@hotmail.com,905 678 682,65869225423443,7811566467
216,Gabriel,Alba,F,1999-05-28,licenciatura,docente,gerardo.caballero@gmail.com,965487122,98137261580726,6477230258
217,Manuel,Santiago,F,1996-03-31,licenciatura,docente,irene.mota@hotmail.com,966-914-934,26133781216942,6979377307
218,Pablo,Lozano,M,1992-02-22,licenciatura,docente,maría elena.arriaga@yahoo.com,916.913.911,29020623195802,2827999847
219,Miguel,Velasco,F,1985-06-26,licenciatura,docente,marta.rodríguez@hotmail.com,918 276 187,60655270484584,1794771036
220,Sancho,Zavala,F,1989-02-26,licenciatura,docente,ana luisa.madera@hotmail.com,903 942 804,55197657197125,4358927831
221,Jaime,Domínquez,F,1997-05-12,licenciatura,docente,gustavo.robledo@hotmail.com,909 186 979,97731903134844,8651319234
222,Diego,Luevano,M,1998-02-26,licenciatura,docente,guillermina.patiño@yahoo.com,912-139-846,14780484072619,9614461377
223,Estela,Briseño,F,1982-02-19,licenciatura,docente,isabel.nájera@yahoo.com,948.457.311,72172881100172,3990607272
